t+pazolite - Chartreuse Green
BPM,120.00
note_type,time,lane,duration
hold,104.625,2,0.171
hold,104.875,1,0.183
tap,105.125,2,
hold,105.250,3,0.164
hold,105.500,2,0.183
tap,106.000,4,
hold,106.250,2,0.200
hold,106.625,2,0.738
tap,106.875,1,
tap,107.625,3,
tap,107.625,1,
hold,108.000,3,0.165
tap,108.375,2,
hold,108.375,3,0.152
tap,108.375,4,
hold,108.750,2,0.196
tap,109.000,3,
tap,109.250,2,
hold,109.625,1,0.754
tap,109.750,3,
tap,110.125,3,
tap,110.375,3,
tap,110.750,3,
hold,110.875,4,0.979
tap,111.000,3,
tap,111.375,3,
tap,111.625,3,
tap,112.000,3,
hold,112.375,1,0.183
tap,112.375,3,
tap,112.750,3,
hold,112.875,1,0.248
hold,113.250,3,0.197
hold,113.625,1,0.232
hold,114.000,4,0.214
hold,114.375,2,0.198
hold,114.625,3,0.182
hold,115.000,2,0.168
hold,115.375,2,0.164
tap,115.500,1,
hold,115.625,2,0.201
tap,115.625,4,
hold,116.000,2,0.167
hold,116.250,2,0.200
hold,116.625,2,0.201
tap,116.625,1,
hold,117.000,2,0.181
hold,117.125,4,0.168
tap,117.250,2,
hold,117.500,4,0.150
tap,117.625,2,
hold,117.750,3,0.183
tap,117.875,1,
hold,118.125,4,0.181
tap,118.250,2,
hold,118.500,3,0.165
hold,118.625,4,0.198
hold,118.875,1,5.301
tap,119.000,2,
tap,119.625,3,
tap,120.000,3,
tap,120.375,3,
tap,120.375,2,
hold,120.750,4,0.164
tap,121.000,4,
tap,121.000,2,
tap,121.375,4,
tap,121.625,4,
tap,122.000,4,
hold,122.250,3,0.169
hold,122.500,2,0.169
tap,122.625,3,
hold,122.875,2,0.166
hold,123.000,4,0.182
tap,123.250,2,
hold,123.375,3,0.167
hold,123.625,2,0.164
tap,123.750,4,
hold,124.875,1,0.878
tap,125.000,3,
tap,126.250,4,
tap,126.250,2,
tap,126.625,4,
hold,126.875,4,0.181
hold,127.125,1,2.759
tap,127.750,2,
tap,129.125,2,
tap,129.375,3,
tap,129.875,4,
hold,130.375,1,0.533
tap,130.500,4,
tap,131.000,3,
tap,131.000,2,
