t+pazolite - Dogbite
BPM,120.00
note_type,time,lane,duration
hold,49.625,2,0.168
tap,49.875,4,
tap,50.000,2,
hold,50.250,1,0.695
tap,50.750,3,
hold,51.500,1,0.346
tap,51.500,3,
hold,52.125,1,0.333
tap,52.375,4,
tap,52.375,3,
tap,52.875,3,
tap,52.875,2,
hold,53.250,1,0.381
tap,53.250,3,
tap,53.250,4,
tap,53.625,2,
tap,53.625,3,
tap,54.000,3,
tap,54.000,4,
hold,54.500,1,0.400
tap,54.500,2,
tap,54.500,3,
tap,54.750,2,
tap,54.750,3,
hold,55.125,1,0.414
tap,55.500,4,
hold,55.750,3,0.270
hold,56.125,2,0.200
hold,56.375,4,0.265
hold,56.625,1,0.233
hold,56.875,4,0.234
hold,57.250,2,0.169
hold,57.500,4,0.198
hold,57.875,1,1.023
hold,58.875,4,0.162
tap,59.375,3,
tap,59.375,2,
tap,59.750,3,
tap,59.750,2,
tap,60.000,3,
tap,60.000,2,
tap,60.250,3,
tap,60.250,2,
hold,60.625,1,0.349
hold,61.000,3,0.150
hold,61.250,2,0.184
tap,61.625,3,
hold,61.875,1,0.231
hold,62.125,3,0.200
hold,62.500,2,0.184
hold,62.750,3,0.181
hold,63.125,3,0.183
tap,63.500,3,
tap,63.500,2,
hold,63.750,3,0.183
hold,64.000,1,0.200
hold,64.375,4,0.218
hold,64.750,2,0.186
hold,65.000,3,0.212
tap,65.250,2,
hold,65.625,4,2.340
tap,65.875,1,
tap,66.125,1,
tap,66.500,3,
tap,66.625,1,
tap,66.875,1,
tap,67.125,3,
tap,67.250,1,
tap,67.500,1,
hold,68.125,1,2.274
tap,69.000,3,
hold,69.875,3,0.166
hold,70.500,3,0.168
hold,70.875,2,0.181
hold,71.250,3,0.201
hold,71.750,2,0.194
hold,72.375,3,0.165
tap,73.000,2,
hold,73.500,3,0.197
hold,74.125,2,0.184
slide,74.750,R,0.629
slide,76.000,L,0.737
hold,77.125,1,0.665
slide,78.500,L,1.618
tap,78.875,1,
tap,80.375,2,
hold,80.625,2,0.165
slide,80.625,R,1.933
tap,81.000,2,
tap,81.250,2,
hold,81.625,2,0.164
tap,81.875,2,
hold,82.250,2,0.169
hold,82.500,2,0.166
hold,82.875,1,0.822
slide,83.875,R,1.527
hold,84.125,1,1.035
hold,85.250,1,0.831
hold,86.500,2,0.200
slide,87.000,R,0.610
slide,87.875,L,0.512
slide,89.125,L,0.479
slide,89.625,R,0.494
tap,90.000,2,
tap,90.250,2,
tap,90.500,2,
tap,90.750,2,
tap,91.000,2,
tap,91.250,2,
tap,91.500,2,
tap,91.750,2,
tap,92.000,3,
hold,92.375,3,0.165
hold,92.750,4,0.434
hold,93.125,1,0.150
hold,93.250,4,0.347
hold,93.875,4,0.363
hold,94.125,2,0.185
hold,94.500,3,0.183
hold,95.250,1,0.181
tap,95.250,4,
hold,95.875,1,0.195
hold,96.375,1,0.247
hold,96.875,2,0.181
hold,97.250,3,0.164
hold,97.500,1,0.166
tap,97.875,4,
hold,98.125,2,0.216
hold,98.500,3,0.183
tap,98.750,1,
hold,99.125,1,0.165
hold,99.375,2,0.169
tap,99.500,1,
tap,99.750,4,
tap,100.000,1,
hold,100.000,4,0.165
hold,100.250,1,0.266
hold,100.625,1,0.184
tap,100.625,2,
hold,100.875,1,0.181
tap,101.000,4,
tap,101.250,2,
tap,101.375,3,
tap,101.625,1,
hold,101.875,1,0.230
tap,101.875,3,
hold,102.250,4,0.200
hold,102.500,3,0.199
tap,102.500,1,
hold,102.750,2,0.196
tap,103.125,4,
hold,103.375,1,0.202
tap,103.625,2,
hold,103.750,3,0.165
hold,104.000,2,0.164
hold,104.250,4,0.167
hold,104.625,1,0.164
tap,104.875,2,
tap,105.000,4,
hold,105.250,1,0.165
hold,105.500,4,0.164
hold,105.750,2,0.166
hold,106.125,3,0.165
hold,106.500,1,0.169
hold,106.750,4,0.184
tap,106.875,3,
tap,106.875,2,
hold,107.125,2,0.166
hold,107.375,3,0.184
hold,107.750,1,0.192
hold,108.000,4,0.186
tap,108.000,2,
tap,108.125,3,
hold,108.250,2,0.184
hold,108.625,3,0.152
hold,109.000,2,0.201
hold,109.375,3,0.184
hold,109.625,1,0.183
tap,109.750,2,
tap,109.875,4,
tap,110.125,2,
tap,110.500,3,
hold,110.625,2,0.164
hold,110.750,1,0.197
hold,111.000,4,0.166
tap,111.000,3,
hold,111.375,1,0.150
hold,111.375,2,0.195
tap,111.625,3,
hold,111.750,4,0.165
hold,112.000,1,0.152
tap,112.375,2,
tap,112.375,3,
tap,112.625,3,
tap,112.750,2,
hold,112.875,4,0.151
tap,113.000,3,
hold,113.250,1,0.151
tap,113.500,3,
tap,113.625,2,
tap,113.875,4,
tap,114.000,1,
tap,114.125,3,
hold,114.250,2,0.164
hold,114.500,4,0.165
tap,114.875,1,
tap,115.125,4,
tap,115.375,2,
tap,115.375,3,
tap,115.750,4,
hold,116.000,1,0.165
tap,116.000,3,
hold,116.250,3,0.200
tap,116.625,2,
tap,116.875,4,
tap,117.125,3,
tap,117.250,1,
hold,117.375,4,0.152
tap,117.500,2,
tap,117.625,3,
tap,117.875,1,
tap,117.875,3,
tap,118.000,4,
hold,118.125,2,0.152
tap,118.250,3,
tap,118.375,1,
tap,118.500,4,
tap,118.750,2,
tap,118.750,3,
tap,118.875,1,
tap,118.875,4,
tap,119.125,2,
tap,119.250,1,
tap,119.250,4,
tap,119.375,3,
tap,119.750,2,
tap,119.750,3,
tap,119.750,4,
tap,119.750,1,
